nodeName	altName	nodeAttr[nodesPresent, ]
GS1_SS_01046_15449	NA	antiquewhite2
GS1_SS_01052_10142	NA	blue1
GS1_SS_01053_13528	NA	antiquewhite4
GS1_SS_01054_18346	NA	lightskyblue4
GS1_SS_01055_08653	NA	blue1
GS1_SS_01058_11470	NA	cornflowerblue
GS1_SS_01059_14325	NA	cornflowerblue
GS1_SS_01060_11577	NA	coral4
GS1_SS_01069_05880	NA	lightskyblue4
GS1_SS_01076_00366	NA	coral4
GS1_SS_01084_16996	NA	darkviolet
GS1_SS_01090_11348	NA	coral4
GS1_SS_01091_17799	NA	cornflowerblue
GS1_SS_01098_15058	NA	darkviolet
GS1_SS_01100_02246	NA	lavender
GS1_SS_01101_20166	NA	darkviolet
GS1_SS_01102_13476	NA	darkviolet
GS1_SS_01103_00561	NA	blue1
GS1_SS_01105_12367	NA	darkviolet
GS1_SS_01107_21813	NA	coral4
GS1_SS_01109_20881	NA	blue1
GS1_SS_01112_12767	NA	darkviolet
GS1_SS_01115_13255	NA	coral4
GS1_SS_01119_16539	NA	cornflowerblue
GS1_SS_01122_02959	NA	coral4
GS1_SS_01126_14202	NA	darkviolet
GS1_SS_01127_21787	NA	cornflowerblue
GS1_SS_01130_20489	NA	cornflowerblue
GS1_SS_01136_13822	NA	darkviolet
GS1_SS_01141_13649	NA	blue1
GS1_SS_01145_13771	NA	cornflowerblue
GS1_SS_01146_09019	NA	coral4
GS1_SS_01148_08472	NA	coral4
GS1_SS_01151_14191	NA	blue1
GS1_SS_01161_10386	NA	blue1
GS1_SS_01166_08836	NA	darkviolet
GS1_SS_01168_10728	NA	coral4
GS1_SS_01171_02095	NA	antiquewhite2
GS1_SS_01172_09064	NA	lavender
GS1_SS_01179_04305	NA	lightskyblue4
GS1_SS_01181_15550	NA	coral4
GS1_SS_01197_21025	NA	coral4
GS1_SS_01200_20855	NA	cornflowerblue
GS1_SS_01202_03172	NA	lavender
GS1_SS_01211_13210	NA	coral4
GS1_SS_01220_10433	NA	lavender
GS1_SS_01224_09985	NA	lavender
GS1_SS_01226_03324	NA	darkviolet
GS1_SS_01235_11360	NA	lightskyblue4
GS1_SS_01245_21458	NA	lightskyblue4
GS1_SS_01251_07968	NA	lightskyblue4
GS1_SS_01252_12438	NA	darkviolet
GS1_SS_01258_11156	NA	cornflowerblue
