ProbeName	ZT23a	ZT01a	ZT03a	ZT05a	ZT07a	ZT09a	ZT11a	ZT13a	ZT15a	ZT17a	ZT19a	ZT21a	ZT23b	ZT01b
GS1_SS_13117_02827	0.14295	0.2179	-0.196	0.10295	-0.036	0.1865	0.0745	0.2945	0.3995	0.24525	0.3175	0.113	-0.014	0.0205
GS1_SS_13126_12123	0.013465	0.1605	-0.0732	0.368	-0.0069	-0.09535	0.039	-0.08415	-0.145985	-0.08471	-0.0084	0.0554	0.1675	0.13215
GS1_SS_13130_21695	0.3355	0.602	1.305	0.314	0.1755	0.0362	-0.408	-0.3265	-1.1125	-0.453	-0.3715	0.129	0.2715	0.23345
GS1_SS_13131_01400	-0.0666	-0.2825	-0.08583	0.09395	0.13295	0.07035	-0.08305	-0.16365	-0.091805	-0.0751	0.01435	0.145	0.136	0.1356
GS1_SS_13133_00354	-0.2713	-0.154	-0.7155	0.0915	-0.17635	-0.054	0.554	0.637	0.5175	0.262	0.03605	-0.252	-0.0701	-0.2085
GS1_SS_13134_10624	0.0438	-0.184285	-0.1985	-0.7545	-0.7095	-0.1823	0.08905	0.2	0.208	0.1945	0.294	0.134	0.306461	-0.0575
GS1_SS_13136_13314	-0.0145	0.05	-0.3355	-0.0045	-0.0225	-0.4919	0.0125	0.33675	0.048	0.1935	0.09895	0.302	0.25925	0.2075
GS1_SS_13138_19528	0.16125	-0.5575	-1.49	-1.59	-1.745	-0.3945	0.467	0.644	0.702	0.446	0.4435	0.269	0.04921	-0.47
GS1_SS_13141_11478	-0.1093	-0.344	-0.202	-0.17285	-0.3745	-0.2135	-0.10695	0.12695	0.1784	0.184	0.176	0.00301	0.121	0.1665
GS1_SS_13142_00268	0.272	0.01	0.312	0.0187	-0.02785	-0.0695	-0.0749	-0.13225	-0.449	0.0134	0.0125	0.132	0.2885	-0.0245
